,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
110,111,76.47999572753906,-1.0,1.0060534782409667,-1.0,99.59600067138672,0.029918081570863723,6489.497063159943,-1,cifar100,50000,-1,-1
111,112,76.44999694824219,-1.0,1.0139409782409667,-1.0,99.64999389648438,0.028328689441680908,6543.419017791748,-1,cifar100,50000,-1,-1
112,113,76.3699951171875,-1.0,1.010146750831604,-1.0,99.61000061035156,0.02768638209581375,6597.405802726746,-1,cifar100,50000,-1,-1
113,114,76.47000122070312,-1.0,1.0134448272705079,-1.0,99.63800048828125,0.025881103295683862,6651.334544658661,-1,cifar100,50000,-1,-1
114,115,76.54999542236328,-1.0,1.015147271823883,-1.0,99.68399810791016,0.024965134724974632,6705.35964512825,-1,cifar100,50000,-1,-1
115,116,76.5,-1.0,1.0147765606880188,-1.0,99.70999908447266,0.02392661458015442,6759.521643400192,-1,cifar100,50000,-1,-1
116,117,76.43000030517578,-1.0,1.014005906677246,-1.0,99.6919937133789,0.024091814118623732,6813.480407238007,-1,cifar100,50000,-1,-1
117,118,76.29999542236328,-1.0,1.0127280743598939,-1.0,99.69599914550781,0.02308831833779812,6867.474207639694,-1,cifar100,50000,-1,-1
118,119,76.15999603271484,-1.0,1.0152781539916993,-1.0,99.73199462890625,0.022539593076407908,6921.444691419601,-1,cifar100,50000,-1,-1
119,120,76.31999969482422,-1.0,1.0173072536468506,-1.0,99.72999572753906,0.021837004804611208,6975.414147615433,-1,cifar100,50000,-1,-1
120,121,76.45999908447266,-1.0,1.0175537925720215,-1.0,99.72599792480469,0.021756796510219573,7029.434288978577,-1,cifar100,50000,-1,-1
121,122,76.40999603271484,-1.0,1.0162117066383363,-1.0,99.78399658203125,0.02022208918571472,7083.377295255661,-1,cifar100,50000,-1,-1
122,123,76.52999877929688,-1.0,1.0126314370155334,-1.0,99.73199462890625,0.021486981382966043,7137.4016807079315,-1,cifar100,50000,-1,-1
123,124,76.4000015258789,-1.0,1.0207699657440186,-1.0,99.75399780273438,0.02049801120698452,7191.354069232941,-1,cifar100,50000,-1,-1
124,125,76.54000091552734,-1.0,1.0202218397140503,-1.0,99.78199768066406,0.02013727005958557,7245.338333368301,-1,cifar100,50000,-1,-1
125,126,76.58999633789062,-1.0,1.0207844395637513,-1.0,99.76599884033203,0.019382950394153595,7299.314923286438,-1,cifar100,50000,-1,-1
126,127,76.38999938964844,-1.0,1.0175849435806275,-1.0,99.7979965209961,0.018794361859560012,7353.777813911438,-1,cifar100,50000,-1,-1
127,128,76.29999542236328,-1.0,1.0255845715045928,-1.0,99.77799987792969,0.018819255600571634,7407.701182603836,-1,cifar100,50000,-1,-1
128,129,76.43000030517578,-1.0,1.0214083799362184,-1.0,99.80199432373047,0.018427693881988526,7461.705184698105,-1,cifar100,50000,-1,-1
129,130,76.45999908447266,-1.0,1.0277895874023437,-1.0,99.80799865722656,0.018165679150223733,7515.66818523407,-1,cifar100,50000,-1,-1
130,131,76.75999450683594,-1.0,1.021168775653839,-1.0,99.81199645996094,0.017641331835389136,7569.685344457626,-1,cifar100,50000,-1,-1
131,132,76.55999755859375,-1.0,1.0213110033035278,-1.0,99.78799438476562,0.018263799638152122,7624.3056716918945,-1,cifar100,50000,-1,-1
132,133,76.5999984741211,-1.0,1.019003649520874,-1.0,99.81599426269531,0.01760658302307129,7678.254647254944,-1,cifar100,50000,-1,-1
133,134,76.80999755859375,-1.0,1.018915883255005,-1.0,99.82999420166016,0.017035978012084962,7732.14123916626,-1,cifar100,50000,-1,-1
134,135,76.68999481201172,-1.0,1.0140581219673157,-1.0,99.84199523925781,0.016515054713487624,7786.555815696716,-1,cifar100,50000,-1,-1
135,136,76.5199966430664,-1.0,1.0155527717590331,-1.0,99.83399963378906,0.016428356505036355,7840.524502038956,-1,cifar100,50000,-1,-1
136,137,76.5199966430664,-1.0,1.0172369539260864,-1.0,99.83999633789062,0.016199039927124976,7894.476360797882,-1,cifar100,50000,-1,-1
137,138,76.7699966430664,-1.0,1.0196457370758056,-1.0,99.84199523925781,0.01644826886177063,7948.41028547287,-1,cifar100,50000,-1,-1
138,139,76.63999938964844,-1.0,1.0118575152397156,-1.0,99.85599517822266,0.016312438403367997,8002.305650234222,-1,cifar100,50000,-1,-1
139,140,76.58999633789062,-1.0,1.019513586330414,-1.0,99.87999725341797,0.015477372667789459,8056.232137441635,-1,cifar100,50000,-1,-1
140,141,76.80999755859375,-1.0,1.013096857070923,-1.0,99.85799407958984,0.015527294045090675,8110.521489858627,-1,cifar100,50000,-1,-1
141,142,76.88999938964844,-1.0,1.0125576578140258,-1.0,99.8239974975586,0.01599988782942295,8164.480895996094,-1,cifar100,50000,-1,-1
142,143,76.62999725341797,-1.0,1.011940188407898,-1.0,99.86199951171875,0.015839744796156883,8218.907531261444,-1,cifar100,50000,-1,-1
143,144,76.8499984741211,-1.0,1.015030797958374,-1.0,99.86000061035156,0.015083130311965943,8272.804196357727,-1,cifar100,50000,-1,-1
144,145,76.8699951171875,-1.0,1.011982805633545,-1.0,99.8479995727539,0.015061160477399827,8326.809818029404,-1,cifar100,50000,-1,-1
145,146,76.69999694824219,-1.0,1.0158300762176513,-1.0,99.85199737548828,0.015120002471208573,8380.854979038239,-1,cifar100,50000,-1,-1
146,147,76.8499984741211,-1.0,1.0143093066692352,-1.0,99.88599395751953,0.014631718959510327,8434.824934482574,-1,cifar100,50000,-1,-1
147,148,76.70999908447266,-1.0,1.0118877064704894,-1.0,99.85599517822266,0.01527373310059309,8488.919955968857,-1,cifar100,50000,-1,-1
148,149,76.88999938964844,-1.0,1.0118209798812867,-1.0,99.83999633789062,0.01509992689102888,8543.075228691101,-1,cifar100,50000,-1,-1
149,150,76.56999969482422,-1.0,1.0170944149017334,-1.0,99.89599609375,0.01386460771560669,8597.192628383636,-1,cifar100,50000,-1,-1
0,1,19.54901695251465,-1.0,2.2279836475006554,-1.0,18.07745361328125,10.904929428888709,176.27388620376587,-1,svhn,73257,-1,-1
1,6,19.583589553833008,-1.0,2.2278751450663488,-1.0,18.921058654785156,2.238092613709699,992.6787393093109,-1,svhn,73257,-1,-1
2,11,79.83251190185547,-1.0,0.6158171261133558,-1.0,85.34474182128906,0.4687540375721133,1809.5040934085846,-1,svhn,73257,-1,-1
3,16,89.91625213623047,-1.0,0.3454114295949801,-1.0,88.66728973388672,0.3736339405068979,2627.1383628845215,-1,svhn,73257,-1,-1
4,21,87.36170959472656,-1.0,0.4073394645822876,-1.0,89.54093170166016,0.34507691392194667,3440.631136417389,-1,svhn,73257,-1,-1
5,26,88.39889526367188,-1.0,0.3760384685911133,-1.0,90.16612243652344,0.3299351721838895,4254.627199172974,-1,svhn,73257,-1,-1
6,31,91.63336944580078,-1.0,0.29030760324983124,-1.0,90.46780395507812,0.31924903012660294,5070.000741243362,-1,svhn,73257,-1,-1
7,36,89.40150451660156,-1.0,0.35781649996073756,-1.0,90.49237060546875,0.31665898541673726,5884.465485095978,-1,svhn,73257,-1,-1
8,41,91.90995788574219,-1.0,0.27352437310575634,-1.0,90.62751770019531,0.31654315882685835,6699.177591085434,-1,svhn,73257,-1,-1
9,46,92.4131851196289,-1.0,0.2673867246904253,-1.0,90.74217987060547,0.3099190559660931,7510.9324815273285,-1,svhn,73257,-1,-1
10,51,95.56314849853516,-1.0,0.16263623016794254,-1.0,94.17666625976562,0.20533732250665407,8324.208932161331,-1,svhn,73257,-1,-1
11,56,96.02796173095703,-1.0,0.14913792817062882,-1.0,95.75057220458984,0.15481469122838407,9138.969361543655,-1,svhn,73257,-1,-1
12,61,96.3237533569336,-1.0,0.1413152143450771,-1.0,96.06726837158203,0.14412920535616505,9954.07789850235,-1,svhn,73257,-1,-1
13,66,95.6899185180664,-1.0,0.15776930071216605,-1.0,96.1205062866211,0.139915597824151,10767.68727850914,-1,svhn,73257,-1,-1
14,71,96.04332733154297,-1.0,0.15035095987652589,-1.0,96.11094665527344,0.14045336823017254,11581.618147850037,-1,svhn,73257,-1,-1
15,76,96.08174133300781,-1.0,0.1492637557623829,-1.0,96.22561645507812,0.13664603615650422,12395.732624530792,-1,svhn,73257,-1,-1
16,81,95.78211212158203,-1.0,0.15613333302760096,-1.0,96.14234924316406,0.13704938909142972,13201.519234657288,-1,svhn,73257,-1,-1
17,86,95.62845611572266,-1.0,0.1593735444496289,-1.0,96.16828155517578,0.1359498874993501,13570.680657625198,-1,svhn,73257,-1,-1
18,91,94.96004486083984,-1.0,0.18442550719187314,-1.0,96.336181640625,0.13070168515087932,13939.381410598755,-1,svhn,73257,-1,-1
19,96,95.20205688476562,-1.0,0.17353221253888623,-1.0,96.39624786376953,0.1286114784891021,14308.460394382477,-1,svhn,73257,-1,-1
20,100,95.14827728271484,-1.0,0.17951804461769333,-1.0,96.3511962890625,0.12812851685256654,14605.175992250443,-1,svhn,73257,-1,-1
0,1,53.77000045776367,-1.0,1.7985948162078857,-1.0,24.288333892822266,12.049173685073853,136.35406160354614,-1,fmnist,60000,-1,-1
1,6,86.18999481201172,-1.0,0.3762161469936371,-1.0,88.01166534423828,0.32451313451131186,797.8440971374512,-1,fmnist,60000,-1,-1
2,11,89.29000091552734,-1.0,0.28897571330070493,-1.0,90.78500366210938,0.25258289001782736,1460.4418215751648,-1,fmnist,60000,-1,-1
3,16,87.83999633789062,-1.0,0.33645866203308106,-1.0,91.9366683959961,0.22220009120305378,2122.789285182953,-1,fmnist,60000,-1,-1
4,21,88.68000030517578,-1.0,0.3182347707748413,-1.0,92.51000213623047,0.20394704407056172,2782.1153473854065,-1,fmnist,60000,-1,-1
5,26,90.32999420166016,-1.0,0.2585886965751648,-1.0,92.91333770751953,0.19248699695269267,3441.2358272075653,-1,fmnist,60000,-1,-1
