,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,target_ds,num_training_images,unfrozen_blocks,seed
4,21,59.23999786376953,-1.0,6.494356741333008,-1.0,69.4000015258789,3.1112949199676514,347.6585841178894,cifar10,500,0,10000000
5,26,59.619998931884766,-1.0,6.470998035430908,-1.0,70.20000457763672,3.4330009326934814,421.67980313301086,cifar10,500,0,10000000
6,30,59.57999801635742,-1.0,6.424629336547851,-1.0,69.60000610351562,3.48660552406311,491.2086899280548,cifar10,500,0,10000000
0,1,13.670000076293945,-1.0,29.113567977905273,-1.0,12.800000190734863,25.543476699829103,58.40965127944946,cifar10,500,0,10200000
1,6,44.0099983215332,-1.0,11.684807467651368,-1.0,46.80000305175781,8.684575080871582,131.72172117233276,cifar10,500,0,10200000
2,11,58.06999969482422,-1.0,6.67331569366455,-1.0,60.000003814697266,5.227936450958252,203.62252712249756,cifar10,500,0,10200000
3,16,59.15999984741211,-1.0,6.126825743865967,-1.0,67.20000457763672,3.8961671123504638,275.440945148468,cifar10,500,0,10200000
4,21,59.769996643066406,-1.0,6.010588820648193,-1.0,65.80000305175781,4.008134515762329,347.61263823509216,cifar10,500,0,10200000
5,26,59.98999786376953,-1.0,5.912570175933838,-1.0,65.20000457763672,4.4336609954833985,421.27219581604004,cifar10,500,0,10200000
6,30,59.78999710083008,-1.0,5.9461131744384765,-1.0,66.0,4.2022331466674805,489.7735810279846,cifar10,500,0,10200000
0,1,9.050000190734863,-1.0,39.66614649658203,-1.0,10.600000381469727,33.277466918945315,58.89492726325989,cifar10,500,0,10400000
1,6,40.04999923706055,-1.0,12.094624478149415,-1.0,41.20000076293945,10.369460754394531,134.30523681640625,cifar10,500,0,10400000
2,11,58.519996643066406,-1.0,6.354462777709961,-1.0,59.80000305175781,5.077987739562988,203.95256352424622,cifar10,500,0,10400000
3,16,60.029998779296875,-1.0,5.747308905792236,-1.0,66.80000305175781,4.055256443023682,276.65865778923035,cifar10,500,0,10400000
4,21,60.39999771118164,-1.0,5.87905658493042,-1.0,66.80000305175781,4.014518301010132,347.73803758621216,cifar10,500,0,10400000
5,26,60.459999084472656,-1.0,5.781432132720948,-1.0,66.80000305175781,3.9538842658996582,422.1243510246277,cifar10,500,0,10400000
6,30,60.439998626708984,-1.0,5.793168509674072,-1.0,65.60000610351562,4.283383953094482,493.9677743911743,cifar10,500,0,10400000
0,1,15.239999771118164,-1.0,25.190498657226563,-1.0,12.200000762939453,24.49551937866211,58.903928995132446,cifar10,500,0,10100000
1,6,49.73999786376953,-1.0,8.382792422485352,-1.0,46.80000305175781,7.651757423400879,136.43648433685303,cifar10,500,0,10100000
2,11,58.029998779296875,-1.0,6.434689575958252,-1.0,66.60000610351562,4.045706188201904,206.44039702415466,cifar10,500,0,10100000
3,16,58.21999740600586,-1.0,6.538735994720459,-1.0,66.80000305175781,3.6821845092773438,278.4103858470917,cifar10,500,0,10100000
4,21,58.66999816894531,-1.0,6.321631204223633,-1.0,68.80000305175781,3.821961269378662,349.57407879829407,cifar10,500,0,10100000
5,26,58.6099967956543,-1.0,6.349883443450928,-1.0,66.60000610351562,3.4819100761413573,422.78274154663086,cifar10,500,0,10100000
6,30,58.66999816894531,-1.0,6.380508633422852,-1.0,69.4000015258789,3.271084571838379,491.7075982093811,cifar10,500,0,10100000
0,1,5.920000076293945,-1.0,48.79124078979492,-1.0,8.600000381469727,41.88515060424805,58.950217962265015,cifar10,500,0,10300000
1,6,41.209999084472656,-1.0,13.27053486328125,-1.0,37.0,12.036970886230469,136.83472681045532,cifar10,500,0,10300000
2,11,55.88999938964844,-1.0,8.216534043884277,-1.0,66.20000457763672,4.166849727630615,208.20929765701294,cifar10,500,0,10300000
3,16,59.269996643066406,-1.0,6.958241417694092,-1.0,66.0,4.616621444702148,279.71082735061646,cifar10,500,0,10300000
4,21,59.81999969482422,-1.0,6.936589232635498,-1.0,66.20000457763672,4.096219013214111,350.2652826309204,cifar10,500,0,10300000
5,26,59.619998931884766,-1.0,6.897524856567383,-1.0,66.4000015258789,4.0947075424194335,423.12098145484924,cifar10,500,0,10300000
6,30,59.769996643066406,-1.0,6.866433943939209,-1.0,67.4000015258789,3.81597686958313,493.38640689849854,cifar10,500,0,10300000
0,1,13.09999942779541,-1.0,33.794949267578126,-1.0,11.600000381469727,24.086110366821288,58.315523862838745,cifar10,500,0,10800000
1,6,43.25,-1.0,11.170638049316405,-1.0,42.80000305175781,8.742680404663085,124.06326341629028,cifar10,500,0,10800000
2,11,54.38999938964844,-1.0,7.999585401916504,-1.0,63.400001525878906,4.628882228851318,193.55763626098633,cifar10,500,0,10800000
3,16,57.64999771118164,-1.0,6.6215416595458985,-1.0,64.60000610351562,3.7586515579223634,263.4464819431305,cifar10,500,0,10800000
4,21,57.80999755859375,-1.0,6.539243285369873,-1.0,67.80000305175781,3.4431752815246583,330.2008979320526,cifar10,500,0,10800000
5,26,57.849998474121094,-1.0,6.512282153320313,-1.0,65.0,3.820952522277832,398.12629222869873,cifar10,500,0,10800000
6,30,57.98999786376953,-1.0,6.540424024963379,-1.0,66.4000015258789,3.833670585632324,463.4599311351776,cifar10,500,0,10800000
0,1,10.029999732971191,-1.0,37.31863466186523,-1.0,9.40000057220459,33.259049011230466,60.058409690856934,cifar10,500,0,10700000
1,6,37.38999938964844,-1.0,12.01984757385254,-1.0,39.0,10.40366135406494,138.59302830696106,cifar10,500,0,10700000
2,11,57.869998931884766,-1.0,6.382589603424072,-1.0,61.400001525878906,4.353788326263428,211.13481998443604,cifar10,500,0,10700000
3,16,58.18000030517578,-1.0,6.358919258117676,-1.0,67.0,3.6252809524536134,284.4544839859009,cifar10,500,0,10700000
4,21,58.269996643066406,-1.0,6.341312536621094,-1.0,66.0,3.8074756870269777,356.2589702606201,cifar10,500,0,10700000
5,26,58.07999801635742,-1.0,6.339648156738281,-1.0,66.0,3.8155252952575682,429.60207438468933,cifar10,500,0,10700000
6,30,58.349998474121094,-1.0,6.306003363037109,-1.0,66.60000610351562,3.475661912918091,490.08108615875244,cifar10,500,0,10700000
0,1,12.0,-1.0,46.74845645141602,-1.0,13.600000381469727,28.280748138427736,59.05129528045654,cifar10,500,0,10600000
1,6,43.80999755859375,-1.0,11.481419148254394,-1.0,39.60000228881836,10.010142051696777,131.99505496025085,cifar10,500,0,10600000
2,11,58.029998779296875,-1.0,6.70829623336792,-1.0,60.80000305175781,4.705333835601807,203.22433304786682,cifar10,500,0,10600000
3,16,59.34000015258789,-1.0,6.349642625427246,-1.0,66.0,3.819734365463257,274.6747486591339,cifar10,500,0,10600000
4,21,59.96999740600586,-1.0,6.207441568756104,-1.0,67.20000457763672,3.7343598136901854,347.2160050868988,cifar10,500,0,10600000
5,26,60.22999954223633,-1.0,6.156932834625244,-1.0,67.80000305175781,3.872973470687866,417.99532675743103,cifar10,500,0,10600000
6,30,60.15999984741211,-1.0,6.141526660919189,-1.0,69.20000457763672,3.6674328002929686,483.4286005496979,cifar10,500,0,10600000
0,1,10.619999885559082,-1.0,37.45881910400391,-1.0,13.000000953674316,30.420069488525392,59.973485231399536,cifar10,500,0,10900000
1,6,46.39999771118164,-1.0,10.109159838867187,-1.0,47.80000305175781,7.67179381942749,135.03735423088074,cifar10,500,0,10900000
2,11,57.439998626708984,-1.0,6.951173794555664,-1.0,68.20000457763672,3.894036689758301,203.26975750923157,cifar10,500,0,10900000
3,16,58.72999954223633,-1.0,6.288420626831055,-1.0,70.60000610351562,3.5347258319854737,275.582311630249,cifar10,500,0,10900000
4,21,58.98999786376953,-1.0,6.197053393554688,-1.0,74.80000305175781,3.057258348464966,348.78999066352844,cifar10,500,0,10900000
5,26,59.13999938964844,-1.0,6.1896669342041015,-1.0,68.80000305175781,3.3522413234710693,419.80830359458923,cifar10,500,0,10900000
6,30,59.19999694824219,-1.0,6.171279640197754,-1.0,72.4000015258789,3.152040506362915,484.3333866596222,cifar10,500,0,10900000
0,1,15.289999961853027,-1.0,35.20952484741211,-1.0,9.200000762939453,31.532453720092775,59.89052104949951,cifar10,500,0,10500000
1,6,43.52000045776367,-1.0,11.39370287475586,-1.0,39.0,9.544740436553955,138.19233632087708,cifar10,500,0,10500000
2,11,57.07999801635742,-1.0,7.656393829345703,-1.0,66.4000015258789,4.432137351989746,211.12816429138184,cifar10,500,0,10500000
3,16,60.849998474121094,-1.0,6.149946261596679,-1.0,68.4000015258789,3.5028976325988768,284.94261026382446,cifar10,500,0,10500000
4,21,61.65999984741211,-1.0,5.87706999130249,-1.0,67.4000015258789,3.8524144020080566,359.0307283401489,cifar10,500,0,10500000
5,26,61.34000015258789,-1.0,5.9712026481628415,-1.0,68.20000457763672,3.737206253051758,432.97082924842834,cifar10,500,0,10500000
6,30,61.22999954223633,-1.0,6.015375105285645,-1.0,69.20000457763672,3.7748243846893312,490.6656620502472,cifar10,500,0,10500000
0,1,41.70000076293945,-1.0,13.435524072265626,-1.0,21.279998779296875,17.438850830078124,70.26661586761475,cifar10,2500,0,10100000
1,6,69.22999572753906,-1.0,3.976254005432129,-1.0,68.31999969482422,3.388332250595093,192.10692286491394,cifar10,2500,0,10100000
2,11,73.58000183105469,-1.0,2.8006224479675295,-1.0,72.87999725341797,2.3001095275878907,324.80894112586975,cifar10,2500,0,10100000
3,16,73.70999908447266,-1.0,2.7335849838256836,-1.0,74.47999572753906,2.0604212871551515,455.2563261985779,cifar10,2500,0,10100000
4,21,73.33999633789062,-1.0,2.72627879486084,-1.0,75.0,2.0338776412963866,584.4436020851135,cifar10,2500,0,10100000
5,26,73.3499984741211,-1.0,2.7233486686706545,-1.0,75.27999877929688,1.9423231580734253,716.2316265106201,cifar10,2500,0,10100000
6,30,73.30999755859375,-1.0,2.7394439140319826,-1.0,75.19999694824219,1.896862052154541,833.71155834198,cifar10,2500,0,10100000
0,1,44.5099983215332,-1.0,9.01986349029541,-1.0,21.719999313354492,19.050996936035155,71.41645789146423,cifar10,2500,0,10200000
1,6,71.22999572753906,-1.0,3.537304780578613,-1.0,70.79999542236328,3.181746949386597,204.2604696750641,cifar10,2500,0,10200000
2,11,73.36000061035156,-1.0,3.014873510360718,-1.0,74.43999481201172,2.409546397590637,332.61030864715576,cifar10,2500,0,10200000
3,16,74.15999603271484,-1.0,2.7672904136657714,-1.0,76.68000030517578,2.059745488166809,463.6236617565155,cifar10,2500,0,10200000
4,21,74.6199951171875,-1.0,2.708605234527588,-1.0,78.0,1.7187125162124635,597.7237963676453,cifar10,2500,0,10200000
5,26,74.6199951171875,-1.0,2.648143277359009,-1.0,78.75999450683594,1.809377848815918,730.7959015369415,cifar10,2500,0,10200000
6,30,74.56999969482422,-1.0,2.634730253982544,-1.0,76.1199951171875,1.8811427455902099,847.078206539154,cifar10,2500,0,10200000
0,1,34.15999984741211,-1.0,14.063169174194336,-1.0,18.559999465942383,24.184487782287597,71.49943280220032,cifar10,2500,0,10400000
1,6,68.18000030517578,-1.0,4.284607755279541,-1.0,68.43999481201172,3.779343577957153,207.5187427997589,cifar10,2500,0,10400000
2,11,73.58000183105469,-1.0,2.9625158193588255,-1.0,75.79999542236328,2.2900300643920897,340.0188775062561,cifar10,2500,0,10400000
3,16,74.31999969482422,-1.0,2.736359498786926,-1.0,76.0,2.009188387680054,471.05846977233887,cifar10,2500,0,10400000
4,21,74.50999450683594,-1.0,2.6272342920303347,-1.0,75.87999725341797,1.9383300106048584,600.0929443836212,cifar10,2500,0,10400000
5,26,74.20999908447266,-1.0,2.682444758415222,-1.0,76.87999725341797,1.982658029937744,732.7481541633606,cifar10,2500,0,10400000
6,30,74.13999938964844,-1.0,2.6527749547958375,-1.0,75.68000030517578,1.9749003177642823,847.2592628002167,cifar10,2500,0,10400000
0,1,41.53999710083008,-1.0,12.036250813293456,-1.0,19.600000381469727,18.21735765533447,71.76082468032837,cifar10,2500,0,10000000
1,6,67.29000091552734,-1.0,4.482750883483886,-1.0,67.79999542236328,3.637272360992432,209.69055342674255,cifar10,2500,0,10000000
2,11,72.98999786376953,-1.0,3.0662032302856446,-1.0,74.08000183105469,2.3120759101867674,342.5010435581207,cifar10,2500,0,10000000
3,16,72.4000015258789,-1.0,3.0139566226959227,-1.0,77.0,1.936173439025879,475.8035924434662,cifar10,2500,0,10000000
4,21,72.52999877929688,-1.0,2.9075780326843264,-1.0,75.31999969482422,1.9709823543548584,609.4586682319641,cifar10,2500,0,10000000
5,26,72.90999603271484,-1.0,2.8358313037872316,-1.0,76.04000091552734,1.9001274871826173,740.950287103653,cifar10,2500,0,10000000
6,30,72.93000030517578,-1.0,2.8213992385864257,-1.0,76.15999603271484,1.9321500738143922,849.098268032074,cifar10,2500,0,10000000
0,1,36.11000061035156,-1.0,14.36737547607422,-1.0,16.279998779296875,29.633140502929688,71.61407327651978,cifar10,2500,0,10300000
1,6,69.55999755859375,-1.0,3.9785542793273927,-1.0,64.72000122070312,4.179719200897217,209.21446990966797,cifar10,2500,0,10300000
2,11,70.79999542236328,-1.0,3.363972627258301,-1.0,72.55999755859375,2.6661691200256348,341.8769471645355,cifar10,2500,0,10300000
3,16,72.75999450683594,-1.0,2.923347430419922,-1.0,75.23999786376953,2.163975264549255,474.838903427124,cifar10,2500,0,10300000
4,21,72.73999786376953,-1.0,2.8996510627746583,-1.0,74.43999481201172,2.0679019397735594,611.0018584728241,cifar10,2500,0,10300000
5,26,72.97000122070312,-1.0,2.8889848014831543,-1.0,75.87999725341797,2.063213534164429,743.0563416481018,cifar10,2500,0,10300000
6,30,72.7699966430664,-1.0,2.84955539932251,-1.0,73.4000015258789,2.269646267700195,850.4808795452118,cifar10,2500,0,10300000
0,1,37.55999755859375,-1.0,12.68983464050293,-1.0,21.760000228881836,18.03223116912842,61.91573190689087,cifar10,2500,0,10800000
1,6,71.11000061035156,-1.0,3.5275223205566406,-1.0,68.55999755859375,3.3345383392333985,194.03982496261597,cifar10,2500,0,10800000
2,11,74.68000030517578,-1.0,2.8383740760803224,-1.0,73.72000122070312,2.364978937149048,327.24792098999023,cifar10,2500,0,10800000
3,16,74.72000122070312,-1.0,2.7245377967834474,-1.0,75.15999603271484,2.2506994064331054,457.24788331985474,cifar10,2500,0,10800000
4,21,74.63999938964844,-1.0,2.7082143531799314,-1.0,76.15999603271484,1.9863348051071168,588.6502983570099,cifar10,2500,0,10800000
5,26,74.79999542236328,-1.0,2.6921097343444824,-1.0,76.91999816894531,1.9152522018432616,719.1408417224884,cifar10,2500,0,10800000
6,30,74.83000183105469,-1.0,2.70147762260437,-1.0,75.68000030517578,2.027984422683716,835.8736901283264,cifar10,2500,0,10800000
0,1,42.06999969482422,-1.0,11.588322172546386,-1.0,17.119998931884766,22.34665439605713,68.5465738773346,cifar10,2500,0,10900000
1,6,67.97999572753906,-1.0,4.370379006195068,-1.0,68.04000091552734,3.9044545970916746,198.72791814804077,cifar10,2500,0,10900000
2,11,73.48999786376953,-1.0,3.008607024383545,-1.0,74.36000061035156,2.4248101585388184,327.5778138637543,cifar10,2500,0,10900000
3,16,74.30999755859375,-1.0,2.8809644771575926,-1.0,76.4000015258789,2.083596753883362,457.12231945991516,cifar10,2500,0,10900000
4,21,73.5999984741211,-1.0,2.9256095321655273,-1.0,76.5999984741211,1.895086919784546,588.8860266208649,cifar10,2500,0,10900000
5,26,74.08999633789062,-1.0,2.8386210586547853,-1.0,75.83999633789062,1.9192263568878174,719.5788266658783,cifar10,2500,0,10900000
6,30,74.0199966430664,-1.0,2.8684213550567628,-1.0,75.87999725341797,2.0490426876068115,835.9768919944763,cifar10,2500,0,10900000
0,1,39.40999984741211,-1.0,14.180851878356934,-1.0,20.84000015258789,23.69580569000244,69.8792896270752,cifar10,2500,0,10500000
1,6,68.95999908447266,-1.0,4.137547099304199,-1.0,68.15999603271484,3.52270884475708,201.36655473709106,cifar10,2500,0,10500000
2,11,73.70999908447266,-1.0,2.950328610229492,-1.0,74.19999694824219,2.4240599914550782,330.49770188331604,cifar10,2500,0,10500000
3,16,72.27999877929688,-1.0,3.132248096847534,-1.0,75.4000015258789,2.1368806159973146,460.5702705383301,cifar10,2500,0,10500000
4,21,72.79000091552734,-1.0,3.014064040756226,-1.0,77.87999725341797,1.8475737237930299,592.6049604415894,cifar10,2500,0,10500000
5,26,73.1199951171875,-1.0,2.9331393001556396,-1.0,75.5999984741211,1.889768938446045,725.9957282543182,cifar10,2500,0,10500000
6,30,72.77999877929688,-1.0,2.992017596435547,-1.0,76.5999984741211,1.9469449359893798,840.5064125061035,cifar10,2500,0,10500000
0,1,37.68000030517578,-1.0,14.29505281982422,-1.0,17.03999900817871,26.43837377471924,70.62924122810364,cifar10,2500,0,10700000
1,6,69.02999877929688,-1.0,4.098452250671387,-1.0,67.23999786376953,3.761277705383301,204.39082598686218,cifar10,2500,0,10700000
2,11,73.81999969482422,-1.0,2.8415681480407713,-1.0,73.75999450683594,2.2255625341415404,338.57861709594727,cifar10,2500,0,10700000
3,16,74.29000091552734,-1.0,2.7399673347473144,-1.0,75.43999481201172,2.2226338527679443,474.0949058532715,cifar10,2500,0,10700000
4,21,74.22000122070312,-1.0,2.725686022567749,-1.0,76.83999633789062,1.9257897457122803,607.5596516132355,cifar10,2500,0,10700000
5,26,74.5999984741211,-1.0,2.638233571624756,-1.0,75.36000061035156,2.042801640701294,740.0172369480133,cifar10,2500,0,10700000
6,30,74.33999633789062,-1.0,2.638779907989502,-1.0,75.5199966430664,1.9163774728775025,845.4707913398743,cifar10,2500,0,10700000
0,1,39.63999938964844,-1.0,13.434961825561523,-1.0,20.19999885559082,20.005519647216797,70.08780813217163,cifar10,2500,0,10600000
1,6,69.02999877929688,-1.0,4.2378921249389645,-1.0,67.27999877929688,3.935682772064209,200.85435700416565,cifar10,2500,0,10600000
2,11,73.04000091552734,-1.0,3.010928797149658,-1.0,75.4000015258789,2.277415330886841,333.84005522727966,cifar10,2500,0,10600000
3,16,72.72000122070312,-1.0,2.9852171142578126,-1.0,76.91999816894531,1.947488389968872,468.38125252723694,cifar10,2500,0,10600000
